,index,question,topic
1365,1365,What happens if malloc falis to allocate memory,Memory  hierarchy
1366,1366,In this round basic Aptitude question were asked similar to other companies aptitude paper and was slightly challenging paper as question was easy but required time management as few question required more calculation We can see all the question at once so we were able to select question I am not exactly sure with no of question and time but it was 40 question in 40 minute Time management will be the key to qualify this round In my college more than 50 student cleared the round,Asymptotic  worst  case  time  and  space  complexity
1367,1367,How many address bytes are required to address an array of memory chips 4  6,Memory  hierarchy
1368,1368,in associated memory for fast accessing which one is used,Memory  hierarchy
1369,1369,In this round they are conducting like personal interview for 1 to 2 mins thats it But the key point to be noted here is they are just checking your spontaneity and fluency you need not be that much fluent  just manage speaking for atleast 20 to 30 sec,fixed and floating point
1370,1370,How you will manage a crowd to listen to you while you are presenting your ppt so many cross questions,Memory management and virtual memory
1371,1371,what is a virtual and pure virtual function,Memory management and virtual memory
1372,1372,In the form I had mentioned that LT has a perfect mixture of professionalism  fun at work She asked why fun at work is important I told her that it is important to relax ur mind  not just work 247 Then she gave me scenario where im a project manager  I have to work continuosly for several weeks without a break How would I cope with it I told her that I can cope with it if its important work but only to a certan extent Then she asked me to what extent will I be able 2 cope with it I told her that till I have a mental breakdown I will cope with it I wont let my professional life affect my personal life in any way,Memory management and virtual memory
1373,1373,Write a function deletestruct node Head to delete the linked list node by node by deallocating them from the memory and at the end assign the head pointer to NULL,Memory  hierarchy
1374,1374,Write routines to read and write a bounded buffer Write   routines to manage a heap using an existing array,binary heaps
1375,1375, ManagedOnly Access  for a few obvious reasons  and some far more technical  you cannot utilize the ADONET architecture from anything but managed code This means that there is no COM interoperability allowed for ADONET Therefore  in order to take advantage of the advanced SQL Server Data Provider and any other feature like DataSets  XML internal data storage  etc  your code must be running under the CLR,main  memory  and  secondary  storage
1376,1376,When compiling to managed code  the compiler translates your source code into Microsoft intermediate language MSIL  which is a CPUindependent set of instructions that can be efficiently converted to native code Intermediate Language is a binary assembly language that is compiled at runtime down to whatever machine language is appropriate for the host CPU This runtime compilation is called JustInTime Compiling or JITcompiling,Instruction pipelining
1377,1377,Describe ur algorithm based on memory and speed,Memory  hierarchy
1378,1378,Write routines to read and write a bounded buffer Write routines to manage a heap using an existing array,binary heaps
1379,1379,In this round the test consist of questions from aptitude Time  work  Time  distance  area  probability and permutation   Reasoning Syllogism  blood relation  series completion and analogies   English 2 Passage simple   antonyms  synonyms and basic grammar questions The test was quite easy just practice the examples of RS Agarwal  it is sufficient enough to crack the test Moreover this is an Adaptive Test so time management is required,Asymptotic  worst  case  time  and  space  complexity
1380,1380,When d result time arrived  d names were called who were supposed to be ready for interview round where HR and technical rounds were merged into one Out of 150 students who appeared for written only 65 managed to go through the first hurdle I was one of the lucky students,Asymptotic  worst  case  time  and  space  complexity
1381,1381,What is segmentation of memory and others questions,Memory  hierarchy
1382,1382,In Computer concepts part  questions on LRU page replacement policy  semaphores  scheduling  cache memory Data structures etc,Number representations and computer  arithmetic
1383,1383,In total there was 170ques n time is 2 hrs so time management is very crucial it is very imp that u give atleast 1 go to all ques,Asymptotic  worst  case  time  and  space  complexity
1384,1384,Explain dynamic memory allocation 4 Marks,Memory  hierarchy
1385,1385,When a job is submitted the agent will confirm the status of the job When the status shows up as scheduled  you can close down the OEM console The processing of the job is managed by the OIA Oracle Intelligent Agent The OIA maintains a jou file in the agents subdirectory When the console is launched communication with the Agent is established and the contents of the jou file binary are reported to the console job subsystem Note that OEM will not be able to send email and paging notifications when the Console is not started,inter?process  communication
1386,1386,When one form invokes another form by executing new_form oracle form exits the first form and releases its memory before loading the new form calling new form completely replace the first with the second If there are changes pending in the first form  the operator will be prompted to save them before the new form is loaded,Memory  hierarchy
1387,1387,In a Single Threaded Architecture or a dedicated server configuration the database manager creates a separate process for each database user But in MTA the database manager can assign multiple users multiple user processes to a single dispatcher server process  a controlling process that queues request for work thus reducing the databases memory requirement and resources,data?path and control unit
1388,1388,In Apps  verbal s very easy then comes reasoning it used 2 take time but understanding d concept s matters then quants PROFIT AND LOSS  PERCENTAGES  RATIOS all r from RS AGARWAL only so don neglect those topics time provide matter 4 u so manage d time,Asymptotic  worst  case  time  and  space  complexity
1389,1389,In first round they checked my basics in Java  C  DS like what is a pointer  pure virtual fns  wrapper class  interface etcThis took place around 1200PM for around 20 min They keep on confusing u but its important to stick on to the answer They filtered many in this round,O interface
1390,1390,In technical section questions were on AnalogMOSFETS  BJTS  Qpoints  Opamps Digital electronics  CCEmbedded C on bit operations  dynamic memory allocation  RTOS  Control Systems  etc,fixed and floating point
1391,1391,When estimating smooth limits  both the number of LUWs is important and the average data volume per LUW As a rule  we recommend to bundle data usually documents already when writing to the DeltaQueue to keep number of LUWs small partly this can be set in the applications  eg in the Logistics Cockpit The data volume of a single LUW should not be considerably larger than 10 of the memory available to the work process for data extraction in a 32bit architecture with a memory volume of about 1GByte per work process  100 Mbytes per LUW should not be exceeded That limit is of rather small practical importance as well since a comparable limit already applies when writing to the DeltaQueue If the limit is observed  correct reading is guaranteed in most cases,Number representations and computer  arithmetic
1392,1392,In the C  C part  most of the questions were from pointers  functions  files  array  dynamic memory allocation malloc based questions the pattern of the question was to find out only errors or the op of the given program,Memory  hierarchy
1393,1393,In my GD panel there were 11 members6 girls 5 boys  The topic was Whether Women are Good Managers or Not I thought to start the discussion but other guy started itAfter 8 guys I got the chance I started Supporting  Women are Good managers and gave some examples like chanda kocharyICICI ceo etc After every spoke HR asked 2 girls whether you want to add some more points I thought I am rejected  But HR called my name to add some points and I added At the end she called 3 names 2 girls and 1 boymyself to wait in other room Remaining peoples asked to submit their Tag and leave,fixed and floating point
1394,1394,If you are a manager  and some member of your team feels underappreciated and wants to leave  how will you pacify him,Memory management and virtual memory
1395,1395,If you clear the aptitude  you have 70 chance to get in Aptitude is of average difficulty and needs a lot of practice to make time management possible Aptitude includes verbal and nonverbal reasoning  quantitative  logical  comprehension  articles  synonyms and antonyms,Asymptotic  worst  case  time  and  space  complexity
1396,1396,Which of the following uses less memory Ans union,Memory  hierarchy
1397,1397,Which function allocates memory by initializing memory cells with zero,Memory  hierarchy
1398,1398,When I have entered the room I felt somewhat tense Manager offered me some water and I have accepted it After this  I felt very cool and Interview went on very nicely,Memory management and virtual memory
1399,1399,In the interview Firstly I was asked about how my test was Later I got to know that many were asked this innocuous looking but potentially dangerous question first up I suggest however good ur test may be  be a little reserved on this Then they thoroughly grilled on C  C Questions on C ranged from operators  to maximum size of arrays  linking of header files  compilation  assembler  preprocessor  the file inclusion  whether one can build a header file etc in C they asked about OO concepts  encapsulation  abstraction  virtual functions  how they work  polymorphism  inheritance In DBMS I was asked to name some commercial DBMS packages  whether MS Access was one Also what normalization was  how it was done Also what client server architecture was  to give a real life example of it In DS I was asked about what queue how it worked  whether one could have a LIFO queue Also what r single  double linked lists,Arrays
1400,1400,Redo log file  What exactly it stores,File systems
1401,1401,How to find a pattern in a file  said  using grep How to ignore case  grep i,Asymptotic  worst  case  time  and  space  complexity
1402,1402,In a number system   represents 1 and  represents 0  when shifted to left  will be multiplied by 2 So 4 is represented as ,Number representations and computer  arithmetic
1403,1403,How many other systems can you connect to this network,File systems
1404,1404,What   does the file stdioh contain,File systems
1405,1405,What I suggest is to do control systems  power systems and machinery gate materials,data?path and control unit
1406,1406,Which is the following relate to rational transfer function of a system,File systems
1407,1407,In a terrestrial microwave system transmission of signals is achieved through,File systems
1408,1408,When a system is represented by the transfer function then the dc gain of this system is ,File systems
1409,1409,In 2nd round  20 mcqs were given covering C  data structures  operating systems and digital logic design There is a time limit of 20 mins Among 350 students  around 245 students got shortlisted in this round,Asymptotic  worst  case  time  and  space  complexity
1410,1410,In GD dont worry just speak some relevant points confidently even if you are weak in communication skills or English Try to be a good listener and dont try to stop anybody from speakingMy gd topic was Oddeven system in Delhi There were some guys in my group who spoke confidently even though their communication skills were not good and still they were shortlisted for next round Last round will be easy if you are not from CSIT background Some very basic questions from your project  OOPS  Data structure will be asked So prepare them well Some typical HR questions like your strength  weakness  etc will be asked My interview duration was off about 3035 min And interviewer asked many questions from my project and 34 basic questions from data structures,fixed and floating point
1411,1411,When I entered the hall interviewer was observing files,File systems
1412,1412,if the name of the executable file is abc and the command line is,File systems
1413,1413,if the name of the executable file is abc and the command line is     given as abc xyz what is the     output,File systems
1414,1414,if the name of the executable file is abc and the command line is       given as abc xyz,File systems
1415,1415,If there is      a global variable defined in another file is it necessary to      define it again in the current program,File systems
1416,1416,What   will be sequence of operating system activities when an interrupt occurs,interrupt and DMA mode
1417,1417,What   will be sequence of operating system activities when an interrupt occurs ,interrupt and DMA mode
1418,1418,21what is socket  how many required to make connection between two systems,File systems
1419,1419,Which one is called   family treevirtual function and   overloadingDHCP protocolorder of insertion and   Heap sortleft recursionfind output    forl1ala couta cout a    DEBUG trigger oraclein unrestricted   session which system privilege mode   is used oracleNEXTVAL and CURRENTVAL   in sequence OracleUnix system calllike    Var OS 384 support which   memory management,Memory management and virtual memory
1420,1420,Which WAN network is   suitable for the 100Km or m distance networkIf duplicate segments     file are there in hardisk which is best for management     a   FAT    b   SAT,File systems
1421,1421,In HR interview he asked me to introduce myself and instead of HR question he started asking me technical questions he also asked about my family He asked questions from my favorites subjects The questions were very easy for eg difference between C and C Configuration of your system and so on,File systems
1422,1422,In the interview process he may give the ques to write a progam for desired one  or he can give a set of ques on ur BTech basics ie micro processors  control systems  network theory etc Out of 26 members  I was around 14th member called,data?path and control unit
1423,1423,In a realtime system which one do U prefer and why ,Asymptotic  worst  case  time  and  space  complexity
1424,1424,What is the difference between Hard  Soft realtime systems ,Asymptotic  worst  case  time  and  space  complexity
1425,1425,In a realtime system which one do U prefer  why ,Asymptotic  worst  case  time  and  space  complexity
1426,1426,What is the difference between Hard and Soft realtime systems ,Asymptotic  worst  case  time  and  space  complexity
1427,1427,What is a mission critical system ,File systems
1428,1428,What is the important aspect of a realtime system ,Asymptotic  worst  case  time  and  space  complexity
1429,1429,In Section 2 ten questions on C language like NULL present in which header file  syntax of malloc  one question on pointers,Regular and contex-free languages
1430,1430,If you are from CSE discipline  you are through this OS consisted of problems with average turn around time  NTFS FAT32 file systems  and very basic OS concepts Two Unix commands were concatenated using pipe and the output was asked And one pattern searching problem also appeared under Unix,binary  search trees
1431,1431,which is fastest ipc and why semaphoresfor reason please go through some books like Unix system programming by batch a program is given with 100 lines of code and another program also with 100 lines of code  both have to executed and first program with 50 lines first then second has to be started and after second finishses it s 50 lines first process has to be started which inter process communication you use,dynamic programming and divide?and?conquer
1432,1432,where do we define file structure and where do we declare it,File systems
1433,1433,In unrestricted session which system privilege mode is used oracle,interrupt and DMA mode
1434,1434,If duplicate segments   file are there in hardisk which is best for,File systems
1435,1435,in global static variable   declartion in a file,File systems
1436,1436,In completely connected multiprocessor system with n processors   links will be of the order of,linked  lists
1437,1437,Which one does not have file descriptor ,File systems
1438,1438,when an ip address is not in the computer adresss resolution file what does It do with that packet,Number representations and computer  arithmetic
1439,1439,In IBM GBSGlobal Business Services pool campusrecruitment20th October 2016 Techno India Saltlake near College More for the post of Associate System Engineer there were two phases listed below ,linked  lists
1440,1440,How do you copy a file from one directory to other in UNIX,File systems
1441,1441,In SQL Server 2005 Integration Services  if you want to import a flat file very quickly that contains only integer data  what type of parsing should you use,parsing
1442,1442,Which of the following is an invalid file name for a database file,File systems
1443,1443,Which of the following is true about the Raw File Source in SQL Server 2005 Integration Services,File systems
1444,1444,Which of the following is not true about the Raw File Destintion connection in SQL Server 2005 Integration Services,File systems
1445,1445,In configuring the thesaurus configuration file for SQL Server 2005 FullText Search  you set the diacritics_sensitive value to 1 What does this mean,binary  search trees
1446,1446,When creating a fulltext index on a BLOB column image  binary or varbinary where a file is stored  what happens if an incorrect file prefix is stored in the type column For instance if a word document is stored in the image or a varbinaryMAX column and the value of the type column is pdf,binary  search trees
1447,1447,In the SQL Server 2005 thesaurus XML configuration file  what is the expansion set,File systems
1448,1448,When a database file grows  unless instant file initialization is turned on  the server must allocate disk space and then write 0s into all that space This zeroing out of the file creates the delay,Asymptotic  worst  case  time  and  space  complexity
1449,1449,If you absolutely need a report to look the same regardless of what OS or viewing software is being used  which of the following file formats would be the best choice,File systems
1450,1450,How can computer technology be integrated in an elevator system for a hundred story office building How do you optimize for availability How would variation of traffic over a typical work week or floor or time of day affect this,Number representations and computer  arithmetic
1451,1451,How can computer technology be integrated in an elevator   system for a hundred story office building How do you optimize for   availability,Number representations and computer  arithmetic
1452,1452,In theMicrosoft NET framework an assembly is a partially compiled code library for use in deployment  versioning and security In the Microsoft Windows implementation of NET  an assembly is a PE portable executable file There are two types  process assemblies EXE and library assemblies DLL A process assembly represents a process which will use classes defined in library assemblies In version 11 of the CLR classes can only be exported from library assemblies in version 20 this restriction is relaxed The compiler will have a switch to determine if the assembly is a process or library and will set a flag in the PE file NET does not use the extension to determine if the file is a process or library This means that a library may have either dll or exe as its extension,Intermediate code generation
1453,1453,How can computer technology be integrated in an elevator system for a hundred story office building How do you optimize for availability,Number representations and computer  arithmetic
1454,1454,What exactly happens after each system call in sockets,File systems
1455,1455,if XYZ is not defined then only include the header file XYZh,File systems
1456,1456,What exactly happens after each system call in sockets  both at the,File systems
1457,1457,In this Part Few Question came From ProfitLoss  Speed Distance  Time  Number System  Percentage  Few Question were From Logarithm,Number representations and computer  arithmetic
1458,1458,How to crack Part B Here system speaks a sentence and we have to repeat it It will start from small sentences to long This may be difficult for some people Here are the tips that help to gain some marks At least repeating a part of the sentence is beneficial Dont imitate sound  system may not recognize If you dont understand anything  just speak a sentence from Part A But dont be quiet,File systems
1459,1459,In the technical section  questions from Microprocessors  Operating Systems  Computer Networks etc are asked All questions are multiplechoice type,Number representations and computer  arithmetic
1460,1460,In the technical section  questions from Microprocessors  Operating Systems  Computer Networks etc are asked,Number representations and computer  arithmetic
1461,1461,If nowadays we have High voltage insulation systems say XLPE which take up very little space  then why dont we go for higher generating voltages,Asymptotic  worst  case  time  and  space  complexity
1462,1462,If you allow people to log in with OPS accounts from Windows Workstations  you cannot be sure who they really are With terminals  you can rely on operating system passwords  with Windows  you cannot,File systems
1463,1463,If you set REMOTE_OS_AUTHENTTRUE in your initora file  Oracle assumes that the remote OS has authenticated the user If REMOTE_OS_AUTHENT is set to FALSE recommended  remote users will be unable to connect without a password IDENTIFIED EXTERNALLY will only be in effect from the local host Also  if you are using OPS as your prefix  you will be able to log on locally with or without a password  regardless of whether you have identified your ID with a password or defined it to be IDENTIFIED EXTERNALLY,File systems
1464,1464,Can password be changed Yes  put the new password in snmp_rwora file,File systems
1465,1465,where aevent  db file sequential read,Combinational  and  sequential  circuits
1466,1466,If we can restore a few blocks rather than an entire file we only need few blocks,File systems
1467,1467,When a job is submitted the agent will confirm the status of the job When the status shows up as scheduled  you can close down the OEM console The processing of the job is managed by the OIA Oracle Intelligent Agent The OIA maintains a jou file in the agents subdirectory When the console is launched communication with the Agent is established and the contents of the jou file binary are reported to the console job subsystem Note that OEM will not be able to send email and paging notifications when the Console is not started,inter?process  communication
1468,1468,When an instance of an ORACLE database is started  its control file is used to identify the database and redo log files that must be opened for database operation to proceed It is also used in database recovery,data?path and control unit
1469,1469,Can one readwrite files from PLSQL,File systems
1470,1470,If the agent doesnt want to start  ensure your environment variables are set correctly and delete the following files before trying again,Runtime environments
1471,1471,If you need to load positional data fixed length  look at the following control file example,data?path and control unit
1472,1472,What is the use of Control files ,data?path and control unit
1473,1473,If u are able to clear the written test  then your chances in getting into PEROT SYSTEMS have increased by 80 Now its totally in the hands of GOD and your luck Be prepared with your favorite subjects It is not necessary that one have to prepare 45 subjects and be perfect in all of them As everyone is keep saying  what they look is how much confident and relaxed you are If you are confident with your communication skills  then nobody can stop you Dont make them feel that u are tense Keep smiling and always maintain eye contact Believe me  it can do wonders As far as my interview was concerned  this is a snapshot of it,inter?process  communication
1474,1474,If u are able to clear the written test  then your chances in getting into PEROT SYSTEMS have increased by 80 Now its totally in the hands of GOD and your luck Be prepared with your favorite subjects It is not necessary that one have to prepare 45 subjects and be perfect in all of them As everyone is keep saying  what they look is how much confident and relaxed you are If you are confident with your communication skills  then nobody can stop you Dont make them feel that u are tense Keep smiling and always maintain eye contact Believe me  it can do wonders As far as my interview was concerned   this is a snapshot of it,inter?process  communication
1475,1475,In technical section questions were on AnalogMOSFETS  BJTS  Qpoints  Opamps Digital electronics  CCEmbedded C on bit operations  dynamic memory allocation  RTOS  Control Systems  etc,fixed and floating point
1476,1476,Which are related to Our engineering subjects like BASIC ELECTRONICS  NT  CONTROL SYSTEMS  ELECTRICAL MACHINES  DIGITAL ELECTRONICS  APTITUDE   GEN PHYSICS  GEN ENGLISH  C QUES PLAY KEY ROLE C  aptitude is very easy,data?path and control unit
1477,1477,When you delete the data  the LUWs kept in the qRFC queue for the corresponding target system are confirmed Physical deletion only takes place in the qRFC outbound queue if there are no more references to the LUWs,queues
1478,1478,In current systems BW 30B and R3 46B these Tcodes dont exist,File systems
1479,1479,In the C  C part  most of the questions were from pointers  functions  files  array  dynamic memory allocation malloc based questions the pattern of the question was to find out only errors or the op of the given program,Memory  hierarchy
1480,1480,What are the differences between Header files and Library functions,File systems
1481,1481,In Technical you are given an option to write from  C  Operating Systems  SAP  SQL and two more,File systems
1482,1482,In the provided date I reached that office The buildings and systems are really nice About 6080 HRs were there and 3033 cabins are also there In each cabin there was 23 HRs,File systems
1483,1483,If you get through the first two rounds  85 you will be get selected if you have good communication skills When I attended the interview  as Im from a CSE background  he directly started asking me the technical questions Didnt even ask me to introduce myself He had thrown me a big question to answer like he asked me to say about the subjects starting from C language to Computer Graphics I started from C  Data structures  Java  Dbms  Computer networks  Operating systems  Theory of computations  Compiler design and Computer graphics saying about what are the topics present  functionality  uses etc He was well impressed by the way I answered He had thrown a puzzle on aptitude question which I was unable to answer But he explained me the logic later He asked few more questions on OS and Computer networks I almost answered all the questions Finally asked about joins in DBMS I explained He appreciated me He cracked a few jokes too And he immediately said that Im selected to next level Happy to hear those words,Number representations and computer  arithmetic
1484,1484,In the interview Firstly I was asked about how my test was Later I got to know that many were asked this innocuous looking but potentially dangerous question first up I suggest however good ur test may be  be a little reserved on this Then they thoroughly grilled on C  C Questions on C ranged from operators  to maximum size of arrays  linking of header files  compilation  assembler  preprocessor  the file inclusion  whether one can build a header file etc in C they asked about OO concepts  encapsulation  abstraction  virtual functions  how they work  polymorphism  inheritance In DBMS I was asked to name some commercial DBMS packages  whether MS Access was one Also what normalization was  how it was done Also what client server architecture was  to give a real life example of it In DS I was asked about what queue how it worked  whether one could have a LIFO queue Also what r single  double linked lists,Arrays
1485,1485,In this section a big programme of around 2 to 3 pages was given and related to the programe 5 questions are asked Please dont go through the entire programme just see the questions first and observe what part of the programme is really needed to answer that question,dynamic programming and divide?and?conquer
1486,1486,In this section a big programme of around 2 to 3 pages was given and related to the programme 5 questions are asked Please dont go through the entire programme just see the questions first and observe what part of the programme is really needed to answer that question,Relational model
1487,1487,In C questions were mainly related with pointersarround 56 questions  2 questions from command line argument  1 questions related to size of structure  2 on string pointer  1 on preprocessor  1 on bitwise operator 1 on just declare the node of link list  1 on tree whose inorder and preorder is given  1 on continue,linked  lists
1488,1488,In Technical interview for CS students they ask questions related to Data structures,Relational model
1489,1489,In Technical  questions were asked from C C Data StructuresJust brush up ur basic conceptsSome questions were directly defination based some were output related some related to complexity of sorting algos and many moreThere were 25 questions in 35 mins,sorting
1490,1490,In LR section questions were very easyThere were 2 passages and questions related to that some series questions some blood relation typeThere were 24 questions in 35 mins,Relational model
1491,1491,Which is not related to thermal radiation,Relational model
1492,1492,How to relate two tablesetc,Relational model
1493,1493,In Technical the questions are asked on very basics  30 questions are mechanical related,Relational model
1494,1494,Which is the following relate to rational transfer function of a system,File systems
1495,1495,Which   of the following does not relate to CI engine,Relational model
1496,1496,In C programming a expression contains relational operators  assignment operators and arithmetic operators if parentheses is absent then execution follows,Number representations and computer  arithmetic
1497,1497,In logical reasoning the questions were easy The topics that were asked were number series  logical deductions  blood relations  paper folding and cutting  coding decoding  symbols and notations,Number representations and computer  arithmetic
1498,1498,In GD dont quarrel just be calm amd speak related to topic I just spoke two sentences only,Relational model
1499,1499,In memory mapped IO  what will happen if a device is identified with a 16 bit address and enabled by memory related control signals,data?path and control unit
1500,1500,In memory mapped IO  what will happen if a device is identified with a 16 bit address and enabled by memory related control signals,data?path and control unit
1501,1501,In the last section there was passageYou should conclude that one in the specified 10 min It would be better to prepare a computer related topics like client server  internet etc,Number representations and computer  arithmetic
1502,1502,In the last section there was passage You should conclude that one in the specified 10 min It would be better to prepare a computer related topics like client server  internet etc,Relational model
1503,1503,In technical  questions related to C  C  Java  Net were asked,Relational model
1504,1504,In technical round questions related to our stream were asked like questions related to,Relational model
1505,1505,where as CPP they asked more questions on programs related to pointer in class this is also not that much easy Because they want to filter the people there were around 600 people out that only 52 are short listed So my advise is that do alot of hard work  so u get throug it,dynamic programming and divide?and?conquer
1506,1506,In written test there were about 65 40 Aptitude  25 Computer Related questions and the time limit was 60 minutes This test is MANUAL TEST and comprised of Psycometric test  aptitude  and basic computer related questions There was 12 negative marking on Aptitude   no negative marking on Computer Related questions,Number representations and computer  arithmetic
1507,1507,In written test there were about 122 questions and the time limit was 55 minutes This test is online test and comprised of Psycometric test  aptitude  and basic computer related questions Very easy test Just reflect your self for psycometric questions,Number representations and computer  arithmetic
1508,1508,In PI the interviewers will ask only from and everything related to resume,Relational model
1509,1509,In HR every questions related to my project  extracurricular activities  hobbies were asked It was around 1520 minutes,Relational model
1510,1510,In seventh semester we were taught DCS digital communication system also So he started asking me questions related to DCS,inter?process  communication
1511,1511,In parsons turbine  relation between angles,Relational model
1512,1512,In parsons turbine  relation between  angles,Relational model
1513,1513,In a similar way questions based on relations  cost Etc were asked,Relational model
1514,1514,In a similar way questions based on relations  cost etc etc were asked,Relational model
1515,1515,In ROUND 3  i had to wait for my turn till 4 pm Both the rounds were scheduled on the same day I was asked everything related to computers At one point  I had to speak that for this interview I have prepared basics of C  electronics  a bit of networking as the company is based on networking but the HR told me she is not aware of electronics and again started asking me about computers,fixed and floating point
1516,1516,In first section we have to solve questions like OSI model  Universal Gates  SR  JK flipflop  AND OR  EXOR gates  Draw any one antenna and explain it etc,Relational model
1517,1517,In Reading Comprehension  they will first give you a passage Should read the passage in 15min and should return it They will give a paper consisting of 10 Questions related to passage and should be answered in 5min Note that there is a SECTIONAL CUTOFF,Relational model
1518,1518,if xy in a relation R  x1 and x2 are in x  y1 and y2 are in y question,Relational model
1519,1519,Which does not use client server model ,Relational model
1520,1520,What does projection of a relation give Ansgives vertical partition of relation corresponding to specified columns,Relational model
1521,1521,In this round there was 18 question based on Time and Work  profit loss  speed distance  interest and some related questions but all are simple but the only thing is there was a timer of 215 minute for each question,Asymptotic  worst  case  time  and  space  complexity
1522,1522,In Logical Reasoning  Seating arrangement  Blood relations etc,Relational model
1523,1523,In reasoning Statements and conclusions One table and related questions and analogy like hotoven  cold,Relational model
1524,1524,In quant the question related to train and simple interest were there It was okay Neither very easy the results of it was announced in halfanhour,Relational model
1525,1525,What are the various stages in the waterfall model ,Relational model
1526,1526,Which of the following terms is the most closely related to main memory,main  memory  and  secondary  storage
1527,1527,In my hr she asked me tell me what are you doing since you passed out in july 2017 and some family related questions,Relational model
1528,1528,who is your role model premjiCEO or Gandhiji,Relational model
1529,1529,In table 3person r sittingA iz wife of B n C iz da head o industryA iz sister of C so  wat iz da relation between B n C,Relational model
1530,1530,What does a report model provide in SQL Server 2005 Reporting Services,Relational model
1531,1531,What is a functional dependency How does it relate to database table design,Relational model
1532,1532,What is Response object How is it related to ASPs Response object,Relational model
1533,1533,In essay writing a customer related question will be asked In gd general topics will be given Confidence and flow of thoughts will be seen As I am from ece they asked me only basics of C and networking,Intermediate code generation
1534,1534,In this round the test consist of questions from aptitude Time  work  Time  distance  area  probability and permutation   Reasoning Syllogism  blood relation  series completion and analogies   English 2 Passage simple   antonyms  synonyms and basic grammar questions The test was quite easy just practice the examples of RS Agarwal  it is sufficient enough to crack the test Moreover this is an Adaptive Test so time management is required,Asymptotic  worst  case  time  and  space  complexity
1535,1535,What is the relation between the two,Relational model
1536,1536,if u have baisc idea about c  data structure  dbms  operating system then no problem for u and sometime they asked puzzles and some HR related questions As everyone is keep saying  what they look is how much confident and relaxed you are If you are confident with your communication skills  then nobody can stop you Dont make them feel that u are tense Keep smiling and always maintain eye contact Believe me  it can do wonders As far as my interview was concerned  this is a snapshot of it,inter?process  communication
1537,1537,if u have baisc idea about c data structure dbms operating systemthen no problem for uand sometime they asked puzzles and some HR related questions As everyone is keep saying  what they look is how much confident and relaxed you are If you are confident with your communication skills  then nobody can stop you Dont make them feel that u are tense Keep smiling and always maintain eye contact Believe me  it can do wonders As far as my interview was concerned   this is a snapshot of it,inter?process  communication
1538,1538,In this round you will be tested for your basic knowledge relating to mechanical engineering,Relational model
1539,1539,what is OSI and TCPIP model  difference between them  draw the diagram for OSI model  explain detail about OSI model  some question from topology,Relational model
1540,1540,Which are related to Our engineering subjects like BASIC ELECTRONICS  NT  CONTROL SYSTEMS  ELECTRICAL MACHINES  DIGITAL ELECTRONICS  APTITUDE   GEN PHYSICS  GEN ENGLISH  C QUES PLAY KEY ROLE C  aptitude is very easy,data?path and control unit
1541,1541,Which are related to Our engineering sudcts like,Relational model
1542,1542,In the first round  panel asked me basic C questions  few questions related to my projects and in second round they asked few questions from C  asked me to brief about all projects which I have done  questions from those projects  basics of RTOS  Linux but wont ask much on that In the third  final round HR asked few questions,Relational model
1543,1543,What are different process models Which is the best process model and why,Relational model
1544,1544,In the quantitative section  there were 15 numerical based on partnerships  profit and loss  time and distance etc There were 5 questions from picture series and other questions from blood relations  analogy  reasoning etc,Asymptotic  worst  case  time  and  space  complexity
1545,1545,What is waterfall model  prototype model etc,Relational model
1546,1546,In 3 idiots movie  from which character you can relate yourself,Relational model
1547,1547,In this round basic question from java  sql queries and software models and testing were asked Questions will be quite basic  know only the basic concepts no need to go into too deep Study your project thoroughly as they will ask number of questions from there My interview was conducted for roughly 45 minutes  but its not necessary,Number representations and computer  arithmetic
1548,1548,If you open your mouth and speak something related to the topic voluntarily  you will get selected,Relational model
1549,1549,In this section a big programme of around 2 to 3 pages was given and related to the programe 5 questions are asked Please dont go through the entire programme just see the questions first and observe what part of the programme is really needed to answer that question,dynamic programming and divide?and?conquer
1550,1550,In this section a big programme of around 2 to 3 pages was given and related to the programme 5 questions are asked Please dont go through the entire programme just see the questions first and observe what part of the programme is really needed to answer that question,Relational model
1551,1551,In C questions were mainly related with pointersarround 56 questions  2 questions from command line argument  1 questions related to size of structure  2 on string pointer  1 on preprocessor  1 on bitwise operator 1 on just declare the node of link list  1 on tree whose inorder and preorder is given  1 on continue,linked  lists
1552,1552,In Technical interview for CS students they ask questions related to Data structures,Relational model
1553,1553,In Technical  questions were asked from C C Data StructuresJust brush up ur basic conceptsSome questions were directly defination based some were output related some related to complexity of sorting algos and many moreThere were 25 questions in 35 mins,sorting
1554,1554,In LR section questions were very easyThere were 2 passages and questions related to that some series questions some blood relation typeThere were 24 questions in 35 mins,Relational model
1555,1555,Which is not related to thermal radiation,Relational model
1556,1556,How to relate two tablesetc,Relational model
1557,1557,In Technical the questions are asked on very basics  30 questions are mechanical related,Relational model
1558,1558,Which is the following relate to rational transfer function of a system,File systems
1559,1559,Which   of the following does not relate to CI engine,Relational model
1560,1560,In C programming a expression contains relational operators  assignment operators and arithmetic operators if parentheses is absent then execution follows,Number representations and computer  arithmetic
1561,1561,In logical reasoning the questions were easy The topics that were asked were number series  logical deductions  blood relations  paper folding and cutting  coding decoding  symbols and notations,Number representations and computer  arithmetic
1562,1562,In GD dont quarrel just be calm amd speak related to topic I just spoke two sentences only,Relational model
